Name of Student,GENERAL_APPEARANCE,MANNER_OF_SPEAKING,PHYSICAL_CONDITION,MENTAL_ALERTNESS,SELF_CONFIDENCE,ABILITY_TO_PRESENT IDEAS,COMMUNICATION_SKILLS,Student_Performance_Rating,CLASS
Student 524,3,5,3,5,2,5,3,5,Employable
Student 525,1,5,5,3,5,5,3,5,Employable
Student 526,1,3,3,3,4,3,3,5,Employable
Student 527,1,3,4,4,5,3,3,5,Employable
Student 528,3,3,4,2,1,2,2,5,LessEmployable
Student 529,2,2,3,3,3,3,3,5,LessEmployable
Student 530,1,5,4,5,2,5,4,5,LessEmployable
Student 531,5,4,3,4,3,4,3,5,Employable
Student 532,2,3,3,3,3,3,3,5,Employable
Student 533,2,4,4,4,1,4,4,5,Employable
Student 534,5,4,4,4,2,4,4,4,Employable
Student 535,2,4,4,4,2,3,3,5,LessEmployable
Student 536,2,4,5,5,5,5,4,5,LessEmployable
Student 537,4,4,3,3,4,3,3,5,LessEmployable
Student 538,4,3,3,3,5,3,3,5,Employable
Student 539,2,5,4,4,1,4,4,5,LessEmployable
Student 540,2,4,4,4,1,4,4,5,Employable
Student 541,3,5,4,5,4,4,5,4,Employable
Student 542,4,4,4,4,3,5,5,3,Employable
Student 543,3,3,3,4,4,3,3,5,LessEmployable
Student 544,2,5,5,5,2,4,4,5,Employable
Student 545,1,4,4,3,4,4,3,5,Employable
Student 546,2,4,4,3,3,4,3,5,Employable
Student 547,1,5,4,5,3,5,5,5,Employable
Student 548,3,4,4,4,4,4,3,5,Employable
Student 549,2,3,3,3,3,3,2,5,LessEmployable
Student 550,4,3,3,2,4,3,3,5,LessEmployable
Student 551,3,4,3,3,4,4,3,5,Employable
Student 552,2,4,3,3,2,3,3,5,Employable
Student 553,2,4,4,3,4,3,3,3,Employable
Student 554,2,3,3,4,4,3,3,5,Employable
Student 555,4,4,4,4,4,4,4,5,Employable
Student 556,3,4,3,4,2,4,4,5,Employable
Student 557,3,5,5,5,5,5,4,5,LessEmployable
Student 558,3,4,4,4,4,4,4,5,Employable
Student 559,1,3,3,2,4,3,2,5,LessEmployable
Student 560,4,3,3,3,2,2,2,4,LessEmployable
Student 561,2,4,3,4,4,4,3,5,LessEmployable
Student 562,4,3,3,3,5,3,3,4,LessEmployable
Student 563,2,3,3,3,2,3,3,4,LessEmployable
Student 564,1,4,4,4,4,4,4,5,LessEmployable
Student 565,3,4,4,5,1,4,4,5,LessEmployable
Student 566,1,3,3,4,2,4,3,5,LessEmployable
Student 567,3,4,5,4,2,4,4,5,Employable
Student 568,3,4,4,4,4,4,4,3,Employable
Student 569,3,4,5,5,2,5,4,5,Employable
Student 570,2,3,3,3,4,3,3,3,LessEmployable
Student 571,1,5,5,5,2,4,4,4,Employable
Student 572,3,5,4,4,3,5,4,3,Employable
Student 573,5,4,4,4,5,3,3,3,LessEmployable
Student 574,4,5,5,5,2,4,4,3,Employable
Student 575,2,4,4,4,3,5,4,5,Employable
Student 576,4,5,5,5,2,5,4,5,Employable
Student 577,2,3,4,4,5,4,3,5,LessEmployable
Student 578,3,3,4,4,1,3,3,3,LessEmployable
Student 579,4,5,4,5,3,4,4,5,LessEmployable
Student 580,2,4,4,5,2,4,3,5,LessEmployable
Student 581,4,4,5,5,4,5,5,5,Employable
Student 582,2,3,3,4,1,3,3,3,Employable
Student 583,4,5,5,5,2,5,4,5,Employable
Student 584,2,5,4,5,5,5,5,5,Employable
Student 585,2,4,3,3,5,4,4,3,LessEmployable
Student 586,5,5,5,5,3,4,4,5,Employable
Student 587,3,5,5,5,2,4,4,5,Employable
Student 588,4,4,5,5,1,4,4,3,Employable
Student 589,3,4,5,5,4,4,4,5,Employable
Student 590,2,3,4,3,5,3,3,5,LessEmployable
Student 591,2,4,5,5,4,4,4,5,LessEmployable
Student 592,3,3,4,4,2,4,3,5,LessEmployable
Student 593,4,3,3,3,4,3,3,3,LessEmployable
Student 594,1,4,5,5,2,4,4,5,Employable
Student 595,3,5,5,5,2,4,4,3,Employable
Student 596,1,4,5,5,4,4,4,5,Employable
Student 597,1,5,5,5,2,5,4,5,Employable
Student 598,2,4,5,5,4,4,4,5,Employable
Student 599,3,5,5,5,3,5,4,5,Employable
Student 600,5,4,5,5,4,4,4,3,Employable
Student 601,5,3,4,4,4,4,3,5,LessEmployable
Student 602,3,4,4,4,4,4,4,5,LessEmployable
Student 603,1,4,5,5,3,4,4,4,Employable
Student 604,4,5,4,4,2,5,4,5,Employable
Student 605,4,3,3,3,3,3,3,5,Employable
Student 606,2,4,4,4,2,4,4,5,LessEmployable
Student 607,5,3,3,4,4,3,3,5,Employable
Student 608,3,4,4,3,4,3,3,5,Employable
Student 609,4,4,4,3,3,3,3,4,LessEmployable
Student 610,2,4,4,4,2,4,4,4,Employable
Student 611,5,3,3,4,2,3,3,5,Employable
Student 612,2,5,3,5,5,5,5,5,Employable
Student 613,2,4,4,4,1,4,4,5,Employable
Student 614,2,5,5,5,4,5,5,5,Employable
Student 615,1,4,4,4,2,4,4,4,Employable
Student 616,1,3,3,3,3,3,3,5,Employable
Student 617,4,4,3,4,3,4,3,5,Employable
Student 618,5,4,4,4,4,4,4,5,LessEmployable
Student 619,4,3,3,3,2,3,4,5,LessEmployable
Student 620,3,4,4,4,1,4,3,4,Employable
Student 621,1,4,4,4,2,4,3,5,Employable
Student 622,3,4,4,4,3,4,4,5,Employable
Student 623,1,4,4,3,3,4,4,5,Employable
Student 624,5,4,4,3,2,4,3,5,LessEmployable
Student 625,1,3,2,3,1,2,3,5,Employable
Student 626,5,3,4,3,4,3,3,4,Employable
Student 627,4,4,3,4,3,4,3,5,LessEmployable
Student 628,2,4,4,4,4,3,3,5,Employable
Student 629,3,3,3,4,3,3,3,4,LessEmployable
Student 630,1,3,3,3,2,3,2,5,Employable
Student 631,2,4,4,4,3,4,4,5,Employable
Student 632,1,5,4,5,4,4,4,5,Employable
Student 633,5,4,4,3,2,4,3,5,LessEmployable
Student 634,4,4,4,4,2,4,4,5,Employable
Student 635,3,5,5,5,3,5,4,5,Employable
Student 636,2,3,3,3,4,2,2,4,Employable
Student 637,3,4,4,4,2,4,3,5,LessEmployable
Student 638,2,4,4,4,2,4,4,5,LessEmployable
Student 639,1,3,3,3,4,3,2,5,Employable
Student 640,4,4,4,4,5,4,4,4,Employable
Student 641,3,3,3,3,3,3,3,5,LessEmployable
Student 642,4,3,4,3,1,3,3,5,Employable
Student 643,3,3,4,3,2,3,2,5,Employable
Student 644,2,2,3,3,3,3,3,5,LessEmployable
Student 645,2,4,3,4,5,4,3,4,LessEmployable
Student 646,4,4,4,3,1,4,3,5,Employable
Student 647,3,4,5,4,4,4,4,5,LessEmployable
Student 648,1,4,4,4,2,3,3,5,LessEmployable
Student 649,2,4,4,4,4,4,3,5,LessEmployable
Student 650,5,4,4,4,2,4,4,5,LessEmployable
Student 651,4,5,4,4,3,4,4,5,LessEmployable
Student 652,3,5,4,5,1,5,5,5,Employable
Student 653,3,4,4,4,3,4,4,5,Employable
Student 654,2,4,4,4,2,4,3,4,LessEmployable
Student 655,1,4,4,4,4,4,3,3,LessEmployable
Student 656,4,5,4,4,4,4,5,3,LessEmployable
Student 657,1,4,4,4,5,4,3,5,Employable
Student 658,2,4,4,4,4,4,3,5,Employable
Student 659,1,5,4,4,1,4,4,5,Employable
Student 660,3,3,4,4,3,3,3,4,Employable
Student 661,2,4,3,3,3,4,4,5,LessEmployable
Student 662,3,5,5,5,3,5,5,5,Employable
Student 663,1,4,5,5,1,5,4,5,Employable
Student 664,3,4,5,5,2,5,4,5,Employable
Student 665,3,3,5,4,2,3,3,5,Employable
Student 666,4,4,5,5,3,4,4,4,Employable
Student 667,3,3,5,4,4,4,3,4,LessEmployable
Student 668,3,5,5,5,4,4,3,4,Employable
Student 669,5,5,5,5,2,5,3,5,Employable
Student 670,5,4,4,4,2,4,4,5,LessEmployable
Student 671,1,3,4,4,5,3,3,5,LessEmployable
Student 672,4,4,4,4,3,4,3,5,LessEmployable
Student 673,3,4,5,4,3,4,3,5,LessEmployable
Student 674,3,3,5,4,3,5,3,5,Employable
Student 675,5,3,3,3,3,3,2,5,Employable
Student 676,2,3,4,3,3,3,4,4,Employable
Student 677,3,3,4,4,1,3,3,3,Employable
Student 678,1,3,3,2,1,2,3,4,Employable
Student 679,4,5,5,5,3,5,4,5,LessEmployable
Student 680,2,3,4,3,1,3,4,5,LessEmployable
Student 681,5,3,4,4,3,3,3,4,LessEmployable
Student 682,2,3,4,4,4,3,3,5,Employable
Student 683,3,4,4,4,3,3,3,5,Employable
Student 684,3,4,5,5,3,5,5,5,LessEmployable
Student 685,4,5,5,5,4,4,5,5,Employable
Student 686,4,5,5,5,2,4,5,5,Employable
Student 687,2,4,3,4,5,4,4,5,LessEmployable
Student 688,2,3,4,4,2,3,3,4,LessEmployable
Student 689,2,3,4,4,3,4,4,5,LessEmployable
Student 690,3,3,4,4,5,4,4,5,LessEmployable
Student 691,2,4,4,4,4,4,5,5,LessEmployable
Student 692,1,3,3,3,2,3,3,3,Employable
Student 693,3,3,4,3,3,3,3,3,Employable
Student 694,3,4,3,4,2,4,3,5,Employable
Student 695,2,4,4,3,1,4,3,4,LessEmployable
Student 696,2,4,4,3,1,4,4,4,LessEmployable
Student 697,4,3,2,4,1,4,3,5,LessEmployable
Student 698,5,5,5,4,2,4,5,5,LessEmployable
Student 699,4,2,4,4,3,3,3,5,LessEmployable
Student 700,3,5,5,5,5,5,5,5,LessEmployable
Student 701,3,3,3,4,2,3,3,3,Employable
Student 702,2,4,3,3,2,3,2,3,LessEmployable
Student 703,3,5,5,5,3,4,5,5,Employable
Student 704,1,5,5,5,1,5,5,3,LessEmployable
Student 705,5,5,5,3,3,5,3,5,LessEmployable
Student 706,2,5,3,5,4,5,3,5,Employable
Student 707,4,5,5,3,4,5,3,5,Employable
Student 708,4,3,3,3,2,3,3,5,Employable
Student 709,3,3,4,4,2,3,3,5,Employable
Student 710,1,3,4,2,2,2,2,5,LessEmployable
Student 711,5,2,3,3,5,3,3,5,LessEmployable
Student 712,1,5,4,5,3,5,4,5,LessEmployable
Student 713,4,4,3,4,2,4,3,5,Employable
Student 714,3,3,3,3,5,3,3,5,Employable
Student 715,3,4,4,4,3,4,4,5,Employable
Student 716,4,4,4,4,3,4,4,4,Employable
Student 717,2,4,4,4,1,3,3,5,LessEmployable
Student 718,1,4,5,5,2,5,4,5,LessEmployable
Student 719,2,4,3,3,3,3,3,5,LessEmployable
Student 720,1,3,3,3,1,3,3,5,Employable
Student 721,4,5,4,4,2,4,4,5,LessEmployable
Student 722,3,4,4,4,4,4,4,5,Employable
Student 723,2,5,4,5,3,4,5,4,Employable
Student 724,4,4,4,4,3,5,5,3,Employable
Student 725,1,3,3,4,3,3,3,5,LessEmployable
Student 726,2,5,5,5,2,4,4,5,Employable
Student 727,4,4,4,3,1,4,3,5,Employable
Student 728,3,4,4,3,3,4,3,5,Employable
Student 729,1,5,4,5,2,5,5,5,Employable
Student 730,1,4,4,4,4,4,3,5,Employable
Student 731,3,3,3,3,3,3,2,5,LessEmployable
Student 732,3,3,3,2,4,3,3,5,LessEmployable
Student 733,1,4,3,3,4,4,3,5,Employable
Student 734,2,4,3,3,3,3,3,5,Employable
Student 735,4,4,4,3,1,3,3,3,Employable
Student 736,5,3,3,4,5,3,3,5,Employable
Student 737,2,4,4,4,3,4,4,5,Employable
Student 738,2,4,3,4,3,4,4,5,Employable
Student 739,4,5,5,5,2,5,4,5,LessEmployable
Student 740,4,4,4,4,3,4,4,5,Employable
Student 741,3,3,3,2,4,3,2,5,LessEmployable
Student 742,5,3,3,3,3,2,2,4,LessEmployable
Student 743,4,4,3,4,2,4,3,5,LessEmployable
Student 744,3,3,3,3,3,3,3,4,LessEmployable
Student 745,2,3,3,3,3,3,3,4,LessEmployable
Student 746,3,4,4,4,2,4,4,5,LessEmployable
Student 747,5,4,4,5,1,4,4,5,LessEmployable
Student 748,5,3,3,4,4,4,3,5,LessEmployable
Student 749,5,4,5,4,3,4,4,5,Employable
Student 750,4,4,4,4,2,4,4,3,Employable
Student 751,3,4,5,5,5,5,4,5,Employable
Student 752,2,3,3,3,3,3,3,3,LessEmployable
Student 753,5,5,5,5,4,4,4,4,Employable
Student 754,3,5,4,4,5,5,4,3,Employable
Student 755,1,4,4,4,4,3,3,3,LessEmployable
Student 756,3,5,5,5,1,4,4,3,Employable
Student 757,5,4,4,4,4,5,4,5,Employable
Student 758,3,5,5,5,3,5,4,5,Employable
Student 759,3,3,4,4,2,4,3,5,LessEmployable
Student 760,3,3,4,4,2,3,3,3,LessEmployable
Student 761,4,5,4,5,2,4,4,5,LessEmployable
Student 762,4,4,4,5,2,4,3,5,LessEmployable
Student 763,5,4,5,5,2,5,5,5,Employable
Student 764,4,3,3,4,1,3,3,3,Employable
Student 765,4,5,5,5,5,5,4,5,Employable
Student 766,4,5,4,5,3,5,5,5,Employable
Student 767,3,4,3,3,1,4,4,3,LessEmployable
Student 768,2,5,5,5,4,4,4,5,Employable
Student 769,5,5,5,5,1,4,4,5,Employable
Student 770,2,4,5,5,4,4,4,3,Employable
Student 771,2,4,5,5,3,4,4,5,Employable
Student 772,4,3,4,3,2,3,3,5,LessEmployable
Student 773,3,4,5,5,2,4,4,5,LessEmployable
Student 774,4,3,4,4,1,4,3,5,LessEmployable
Student 775,4,3,3,3,3,3,3,3,LessEmployable
Student 776,5,4,5,5,4,4,4,5,Employable
Student 777,3,5,5,5,1,4,4,3,Employable
Student 778,4,4,5,5,1,4,4,5,Employable
Student 779,4,5,5,5,2,5,4,5,Employable
Student 780,3,4,5,5,4,4,4,5,Employable
Student 781,3,5,5,5,5,5,4,5,Employable
Student 782,4,4,5,5,5,4,4,3,Employable
Student 783,2,3,4,4,5,4,3,5,LessEmployable
Student 784,4,4,4,4,2,4,4,5,LessEmployable
Student 785,4,4,5,5,4,4,4,4,Employable
Student 786,2,5,4,4,5,5,4,5,Employable
Student 787,4,3,3,3,5,3,3,5,Employable
Student 788,3,4,4,4,1,4,4,5,LessEmployable
Student 789,5,3,3,4,4,3,3,5,Employable
Student 790,3,4,4,3,3,3,3,5,Employable
Student 791,4,4,4,3,4,3,3,4,LessEmployable
Student 792,3,4,4,4,2,4,4,4,Employable
Student 793,5,3,3,4,4,3,3,5,Employable
Student 794,2,5,3,5,1,5,5,5,Employable
Student 795,3,4,4,4,5,4,4,5,Employable
Student 796,3,5,5,5,3,5,5,5,Employable
Student 797,3,4,4,4,2,4,4,4,Employable
Student 798,4,3,3,3,2,3,3,5,Employable
Student 799,4,4,3,4,1,4,3,5,Employable
Student 800,5,4,4,4,1,4,4,5,LessEmployable
Student 801,1,3,3,3,5,3,4,5,LessEmployable
Student 802,4,4,4,4,2,4,3,4,Employable
Student 803,3,4,4,4,3,4,3,5,Employable
Student 804,4,4,4,4,2,4,4,5,Employable
Student 805,3,4,4,3,5,4,4,5,Employable
Student 806,1,4,4,3,1,4,3,5,LessEmployable
Student 807,5,3,2,3,5,2,3,5,Employable
Student 808,1,3,4,3,4,3,3,4,Employable
Student 809,4,4,3,4,4,4,3,5,LessEmployable
Student 810,4,4,4,4,3,3,3,5,Employable
Student 811,4,3,3,4,2,3,3,4,LessEmployable
Student 812,1,3,3,3,2,3,2,5,Employable
Student 813,5,4,4,4,5,4,4,5,Employable
Student 814,4,5,4,5,3,4,4,5,Employable
Student 815,4,4,4,3,1,4,3,5,LessEmployable
Student 816,4,4,4,4,2,4,4,5,Employable
Student 817,2,5,5,5,5,5,4,5,Employable
Student 818,4,3,3,3,2,2,2,4,Employable
Student 819,5,4,4,4,4,4,3,5,LessEmployable
Student 820,3,4,4,4,1,4,4,5,LessEmployable
Student 821,4,3,3,3,4,3,2,5,Employable
Student 822,2,4,4,4,2,4,4,4,Employable
Student 823,4,3,3,3,4,3,3,5,LessEmployable
Student 824,5,3,4,3,5,3,3,5,Employable
Student 825,3,3,4,3,4,3,2,5,Employable
Student 826,4,2,3,3,2,3,3,5,LessEmployable
Student 827,2,4,3,4,4,4,3,4,LessEmployable
Student 828,1,4,4,3,1,4,3,5,Employable
Student 829,3,4,5,4,1,4,4,5,LessEmployable
Student 830,3,4,4,4,5,3,3,5,LessEmployable
Student 831,3,4,4,4,1,4,3,5,LessEmployable
Student 832,4,4,4,4,3,4,4,5,LessEmployable
Student 833,3,5,4,4,2,4,4,5,LessEmployable
Student 834,1,5,4,5,3,5,5,5,Employable
Student 835,3,4,4,4,2,4,4,5,Employable
Student 836,3,4,4,4,2,4,3,4,LessEmployable
Student 837,4,4,4,4,3,4,3,3,LessEmployable
Student 838,3,5,4,4,4,4,5,3,LessEmployable
Student 839,2,4,4,4,3,4,3,5,Employable
Student 840,4,4,4,4,2,4,3,5,Employable
Student 841,2,5,4,4,3,4,4,5,Employable
Student 842,2,3,4,4,3,3,3,4,Employable
Student 843,2,4,3,3,5,4,4,5,LessEmployable
Student 844,5,5,5,5,3,5,5,5,Employable
Student 845,4,4,5,5,3,5,4,5,Employable
Student 846,3,4,5,5,2,5,4,5,Employable
Student 847,3,3,5,4,2,3,3,5,Employable
Student 848,3,4,5,5,2,4,4,4,Employable
Student 849,4,3,5,4,3,4,3,4,LessEmployable
Student 850,2,5,5,5,2,4,3,4,Employable
Student 851,2,5,5,5,4,5,3,5,Employable
Student 852,5,4,4,4,5,4,4,5,LessEmployable
Student 853,5,3,4,4,3,3,3,5,LessEmployable
Student 854,3,4,4,4,5,4,3,5,LessEmployable
Student 855,3,4,5,4,4,4,3,5,LessEmployable
Student 856,3,3,5,4,4,5,3,5,Employable
Student 857,4,3,3,3,5,3,2,5,Employable
Student 858,1,3,4,3,5,3,4,4,Employable
Student 859,3,3,4,4,4,3,3,3,Employable
Student 860,5,3,3,2,2,2,3,4,Employable
Student 861,2,5,5,5,2,5,4,5,LessEmployable
Student 862,4,3,4,3,2,3,4,5,LessEmployable
Student 863,2,3,4,4,2,3,3,4,LessEmployable
Student 864,2,3,4,4,3,3,3,5,Employable
Student 865,4,4,4,4,2,3,3,5,Employable
Student 866,5,4,5,5,1,5,5,5,LessEmployable
Student 867,3,5,5,5,4,4,5,5,Employable
Student 868,4,5,5,5,4,4,5,5,Employable
Student 869,2,4,3,4,1,4,4,5,LessEmployable
Student 870,3,3,4,4,3,3,3,4,LessEmployable
Student 871,2,3,4,4,3,4,4,5,LessEmployable
Student 872,3,3,4,4,5,4,4,5,LessEmployable
Student 873,2,4,4,4,3,4,5,5,LessEmployable
Student 874,4,3,3,3,2,3,3,3,Employable
Student 875,3,3,4,3,3,3,3,3,Employable
Student 876,3,4,3,4,5,4,3,5,Employable
Student 877,1,4,4,3,2,4,3,4,LessEmployable
Student 878,5,4,4,3,2,4,4,4,LessEmployable
Student 879,3,3,2,4,4,4,3,5,LessEmployable
Student 880,2,5,5,4,3,4,5,5,LessEmployable
Student 881,4,2,4,4,1,3,3,5,LessEmployable
Student 882,2,5,5,5,2,5,5,5,LessEmployable
Student 883,4,3,3,4,3,3,3,3,Employable
Student 884,3,4,3,3,4,3,2,3,LessEmployable
Student 885,1,5,5,5,5,4,5,5,Employable
Student 886,2,5,5,5,2,5,5,3,LessEmployable
Student 887,1,5,5,3,4,5,3,5,LessEmployable
Student 888,2,5,3,5,2,5,3,5,Employable
Student 889,5,5,5,3,3,5,3,5,Employable
Student 890,2,3,3,3,5,3,3,5,Employable
Student 891,2,3,4,4,4,3,3,5,Employable
Student 892,2,3,4,2,4,2,2,5,LessEmployable
Student 893,4,2,3,3,4,3,3,5,LessEmployable
Student 894,2,5,4,5,4,5,4,5,LessEmployable
Student 895,1,4,3,4,4,4,3,5,Employable
Student 896,5,3,3,3,2,3,3,5,Employable
Student 897,5,4,4,4,2,4,4,5,Employable
Student 898,5,4,4,4,1,4,4,4,Employable
Student 899,2,4,4,4,2,3,3,5,LessEmployable
Student 900,2,4,5,5,5,5,4,5,LessEmployable
Student 901,5,4,3,3,5,3,3,5,LessEmployable
Student 902,4,3,3,3,5,3,3,5,Employable
Student 903,4,5,4,4,3,4,4,5,LessEmployable
Student 904,1,4,4,4,2,4,4,5,Employable
Student 905,5,5,4,5,4,4,5,4,Employable
Student 906,3,4,4,4,3,5,5,3,Employable
Student 907,5,3,3,4,2,3,3,5,LessEmployable
Student 908,4,5,5,5,2,4,4,5,Employable
Student 909,1,4,4,3,1,4,3,5,Employable
Student 910,4,4,4,3,2,4,3,5,Employable
Student 911,4,5,4,5,1,5,5,5,Employable
Student 912,5,4,4,4,4,4,3,5,Employable
Student 913,2,3,3,3,2,3,2,5,LessEmployable
Student 914,3,3,3,2,2,3,3,5,LessEmployable
Student 915,1,4,3,3,2,4,3,5,Employable
Student 916,2,4,3,3,2,3,3,5,Employable
Student 917,5,4,4,3,2,3,3,3,Employable
Student 918,3,3,3,4,1,3,3,5,Employable
Student 919,3,4,4,4,4,4,4,5,Employable
Student 920,2,4,3,4,2,4,4,5,Employable
Student 921,3,5,5,5,3,5,4,5,LessEmployable
Student 922,2,4,4,4,1,4,4,5,Employable
Student 923,3,3,3,2,3,3,2,5,LessEmployable
Student 924,3,3,3,3,4,2,2,4,LessEmployable
Student 925,1,4,3,4,5,4,3,5,LessEmployable
Student 926,5,3,3,3,4,3,3,4,LessEmployable
Student 927,5,3,3,3,2,3,3,4,LessEmployable
Student 928,2,4,4,4,1,4,4,5,LessEmployable
Student 929,5,4,4,5,3,4,4,5,LessEmployable
Student 930,4,3,3,4,4,4,3,5,LessEmployable
Student 931,2,4,5,4,4,4,4,5,Employable
Student 932,3,4,4,4,2,4,4,3,Employable
Student 933,1,4,5,5,4,5,4,5,Employable
Student 934,5,3,3,3,4,3,3,3,LessEmployable
Student 935,3,5,5,5,4,4,4,4,Employable
Student 936,1,5,4,4,2,5,4,3,Employable
Student 937,4,4,4,4,3,3,3,3,LessEmployable
Student 938,2,5,5,5,3,4,4,3,Employable
Student 939,1,4,4,4,3,5,4,5,Employable
Student 940,3,5,5,5,4,5,4,5,Employable
Student 941,3,3,4,4,3,4,3,5,LessEmployable
Student 942,3,3,4,4,2,3,3,3,LessEmployable
Student 943,3,5,4,5,5,4,4,5,LessEmployable
Student 944,2,4,4,5,1,4,3,5,LessEmployable
Student 945,1,4,5,5,4,5,5,5,Employable
Student 946,3,3,3,4,4,3,3,3,Employable
Student 947,5,5,5,5,3,5,4,5,Employable
Student 948,4,5,4,5,1,5,5,5,Employable
Student 949,3,4,3,3,3,4,4,3,LessEmployable
Student 950,4,5,5,5,1,4,4,5,Employable
Student 951,4,5,5,5,1,4,4,5,Employable
Student 952,5,4,5,5,2,4,4,3,Employable
Student 953,3,4,5,5,4,4,4,5,Employable
Student 954,2,3,4,3,2,3,3,5,LessEmployable
Student 955,4,4,5,5,4,4,4,5,LessEmployable
Student 956,1,3,4,4,5,4,3,5,LessEmployable
Student 957,4,3,3,3,3,3,3,3,LessEmployable
Student 958,4,4,5,5,4,4,4,5,Employable
Student 959,3,5,5,5,2,4,4,3,Employable
Student 960,5,4,5,5,3,4,4,5,Employable
Student 961,2,5,5,5,3,5,4,5,Employable
Student 962,2,4,5,5,4,4,4,5,Employable
Student 963,3,5,5,5,2,5,4,5,Employable
Student 964,2,4,5,5,5,4,4,3,Employable
Student 965,1,3,4,4,1,4,3,5,LessEmployable
Student 966,2,4,4,4,4,4,4,5,LessEmployable
Student 967,3,4,5,5,3,4,4,4,Employable
Student 968,1,5,4,4,3,5,4,5,Employable
Student 969,3,3,3,3,3,3,3,5,Employable
Student 970,3,4,4,4,3,4,4,5,LessEmployable
Student 971,2,3,3,4,5,3,3,5,Employable
Student 972,3,4,4,3,4,3,3,5,Employable
Student 973,4,4,4,3,3,3,3,4,LessEmployable
Student 974,3,4,4,4,2,4,4,4,Employable
Student 975,4,3,3,4,2,3,3,5,Employable
Student 976,4,5,3,5,3,5,5,5,Employable
Student 977,3,4,4,4,2,4,4,5,Employable
Student 978,2,5,5,5,5,5,5,5,Employable
Student 979,4,4,4,4,3,4,4,4,Employable
Student 980,1,3,3,3,2,3,3,5,Employable
Student 981,2,4,3,4,4,4,3,5,Employable
Student 982,4,4,4,4,1,4,4,5,LessEmployable
Student 983,3,3,3,3,2,3,4,5,LessEmployable
Student 984,1,4,4,4,4,4,3,4,Employable
Student 985,2,4,4,4,3,4,3,5,Employable
Student 986,4,4,4,4,5,4,4,5,Employable
Student 987,2,4,4,3,3,4,4,5,Employable
Student 988,3,4,4,3,3,4,3,5,LessEmployable
Student 989,4,3,2,3,2,2,3,5,Employable
Student 990,4,3,4,3,2,3,3,4,Employable
Student 991,4,4,3,4,4,4,3,5,LessEmployable
Student 992,4,4,4,4,5,3,3,5,Employable
Student 993,1,3,3,4,5,3,3,4,LessEmployable
Student 994,2,3,3,3,4,3,2,5,Employable
Student 995,3,4,4,4,4,4,4,5,Employable
Student 996,4,5,4,5,5,4,4,5,Employable
Student 997,1,4,4,3,3,4,3,5,LessEmployable
Student 998,5,4,4,4,4,4,4,5,Employable
Student 999,1,5,5,5,1,5,4,5,Employable
Student 1000,1,3,3,3,2,2,2,4,Employable
Student 1001,1,4,4,4,3,4,3,5,LessEmployable
Student 1002,5,4,4,4,3,4,4,5,LessEmployable
Student 1003,5,3,3,3,3,3,2,5,Employable
Student 1004,3,4,4,4,1,4,4,4,Employable
Student 1005,2,3,3,3,1,3,3,5,LessEmployable
Student 1006,3,3,4,3,3,3,3,5,Employable
Student 1007,1,3,4,3,4,3,2,5,Employable
Student 1008,3,2,3,3,3,3,3,5,LessEmployable
Student 1009,4,4,3,4,4,4,3,4,LessEmployable
Student 1010,1,4,4,3,3,4,3,5,Employable
Student 1011,5,4,5,4,2,4,4,5,LessEmployable
Student 1012,2,4,4,4,5,3,3,5,LessEmployable
Student 1013,2,4,4,4,3,4,3,5,LessEmployable
Student 1014,2,4,4,4,3,4,4,5,LessEmployable
Student 1015,2,5,4,4,3,4,4,5,LessEmployable
Student 1016,3,5,4,5,4,5,5,5,Employable
Student 1017,2,4,4,4,1,4,4,5,Employable
Student 1018,2,4,4,4,2,4,3,4,LessEmployable
Student 1019,1,4,4,4,2,4,3,3,LessEmployable
Student 1020,3,5,4,4,3,4,5,3,LessEmployable
Student 1021,1,4,4,4,3,4,3,5,Employable
Student 1022,4,4,4,4,2,4,3,5,Employable
Student 1023,3,5,4,4,2,4,4,5,Employable
Student 1024,3,3,4,4,4,3,3,4,Employable
Student 1025,2,4,3,3,2,4,4,5,LessEmployable
Student 1026,3,5,5,5,4,5,5,5,Employable
Student 1027,5,4,5,5,2,5,4,5,Employable
Student 1028,3,4,5,5,2,5,4,5,Employable
Student 1029,1,3,5,4,2,3,3,5,Employable
Student 1030,4,4,5,5,4,4,4,4,Employable
Student 1031,1,3,5,4,3,4,3,4,LessEmployable
Student 1032,2,5,5,5,1,4,3,4,Employable
Student 1033,5,5,5,5,3,5,3,5,Employable
Student 1034,2,4,4,4,3,4,4,5,LessEmployable
Student 1035,4,3,4,4,2,3,3,5,LessEmployable
Student 1036,3,4,4,4,3,4,3,5,LessEmployable
Student 1037,3,4,5,4,1,4,3,5,LessEmployable
Student 1038,4,3,5,4,3,5,3,5,Employable
Student 1039,2,3,3,3,4,3,2,5,Employable
Student 1040,4,3,4,3,2,3,4,4,Employable
Student 1041,5,3,4,4,2,3,3,3,Employable
Student 1042,2,3,3,2,3,2,3,4,Employable
Student 1043,2,5,5,5,4,5,4,5,LessEmployable
Student 1044,1,3,4,3,5,3,4,5,LessEmployable
Student 1045,5,3,4,4,3,3,3,4,LessEmployable
Student 1046,5,3,4,4,2,3,3,5,Employable
Student 1047,4,4,4,4,2,3,3,5,Employable
Student 1048,2,4,5,5,2,5,5,5,LessEmployable
Student 1049,4,5,5,5,2,4,5,5,Employable
